symbol,change,percentage_change,price,volume,oscillators_recommendation,analysis_time,recommendation,imbalance,sellside_imabalance_ratio
GREENLAM,-20.299999999999955,-3.490971625107473,561.2,72,SELL,2025-01-01 09:16:15.094314,STRONG_SELL,-14,1.25
REPL,-9.899999999999977,-3.09471709909346,310,7266,BUY,2025-01-01 09:16:59.318412,STRONG_BUY,,
RUBYMILLS,-6.899999999999977,-2.5751072961373307,261.05,253,BUY,2025-01-01 09:17:01.516766,BUY,5,0.93
MARINE,-5.5,-2.111324376199616,255,1951,SELL,2025-01-01 09:16:41.474044,STRONG_SELL,,
SUBROS,-13,-2.037617554858934,625,325,BUY,2025-01-01 09:17:11.745038,BUY,27,0.7
SURYAROSNI,-6.050000000000011,-1.9901315789473721,297.95,70489,SELL,2025-01-01 09:17:12.998249,STRONG_SELL,904,0.29
KOTHARIPRO,-3.8499999999999943,-1.9259629814907424,196.05,730,SELL,2025-01-01 09:16:35.628403,STRONG_SELL,,
SURAJEST,-11.350000000000023,-1.8455284552845568,603.65,298,NEUTRAL,2025-01-01 09:17:12.722866,SELL,-15,1.24
SOMANYCERA,-11.799999999999955,-1.8212687143077566,636.1,336,SELL,2025-01-01 09:17:09.512252,STRONG_SELL,26,0.55
VMART,-69.94999999999982,-1.765076961897548,3893.05,508,NEUTRAL,2025-01-01 09:17:22.244536,BUY,4,0.87
STEELCITY,-2.059999999999988,-1.723993639635106,117.43,1313,NEUTRAL,2025-01-01 09:17:11.406448,STRONG_BUY,271,0.57
SPLPETRO,-11.399999999999977,-1.696428571428568,660.6,500,SELL,2025-01-01 09:17:10.386549,SELL,275,0.12
LGBBROSLTD,-19.700000000000045,-1.5494730218656634,1251.7,7,NEUTRAL,2025-01-01 09:16:37.247037,SELL,0,1.0
LYKALABS,-2.4399999999999977,-1.5278647463994977,157.26,179,NEUTRAL,2025-01-01 09:16:39.617860,BUY,85,0.64
PFIZER,-78.5,-1.4848161003243896,5208.35,1199,SELL,2025-01-01 09:16:53.120566,SELL,-5,2.0
UDAICEMENT,-0.4299999999999997,-1.4705882352941169,28.81,5068,BUY,2025-01-01 09:17:18.713248,BUY,143,0.92
YATRA,-1.690000000000012,-1.450145872661757,114.85,3446,NEUTRAL,2025-01-01 09:17:25.437093,SELL,34,0.86
CERA,-108.5,-1.4136807817589576,7566.5,111,NEUTRAL,2025-01-01 09:15:57.073888,BUY,-45,4.75
SHRIPISTON,-30.800000000000182,-1.4031890660592339,2164.2,1165,NEUTRAL,2025-01-01 09:17:07.089552,BUY,5,0.75
ITDC,-8.75,-1.4023559580094558,615.2,606,SELL,2025-01-01 09:16:29.966326,NEUTRAL,44,0.44
symbol,change,percentage_change,price,volume,oscillators_recommendation,analysis_time,recommendation,imbalance,sellside_imabalance_ratio
UNIVPHOTO,-11.969999999999999,-5.6202460324913135,201.01,789,SELL,2025-01-01 09:19:06.566717,STRONG_SELL,,
SPLIL,-1.3900000000000006,-2.2642124124450245,60,1454,SELL,2025-01-01 09:18:57.176791,STRONG_SELL,-322,3.8
BANSWRAS,-3.0999999999999943,-2.0834733517037396,145.69,227,NEUTRAL,2025-01-01 09:17:44.633534,SELL,46,0.48
ESCORTS,-67.5,-2.041618776843506,3238.7,23224,SELL,2025-01-01 09:18:00.267909,STRONG_SELL,-370,17.82
SURYAROSNI,-5.75,-1.8914473684210527,298.25,99902,SELL,2025-01-01 09:19:00.078288,STRONG_SELL,77,0.43
UDAICEMENT,-0.5499999999999972,-1.8809849521203732,28.69,6785,BUY,2025-01-01 09:19:05.745221,SELL,-1259,1.99
SUBROS,-12,-1.8808777429467085,626,463,BUY,2025-01-01 09:18:59.344577,BUY,21,0.66
STEELCITY,-2.2099999999999937,-1.8495271570842697,117.28,2013,NEUTRAL,2025-01-01 09:18:58.227377,BUY,68,0.64
MACPOWER,-26.40000000000009,-1.7226753670473143,1506.1,26,NEUTRAL,2025-01-01 09:18:26.133338,SELL,49,0.33
AIROLAM,-2.1899999999999977,-1.6718833498740344,128.8,2,NEUTRAL,2025-01-01 09:17:36.773119,SELL,13,0.89
GHCLTEXTIL,-1.7000000000000028,-1.6715830875122937,100,4580,SELL,2025-01-01 09:18:03.709093,STRONG_SELL,85,0.7
KMEW,-37.05000000000018,-1.6179039301310123,2252.95,165,NEUTRAL,2025-01-01 09:18:21.497610,SELL,11,0.48
RUBYMILLS,-4.300000000000011,-1.604777010636317,263.65,905,BUY,2025-01-01 09:18:48.127536,STRONG_BUY,50,0.44
REPL,-5.0,-1.5629884338855895,314.9,10083,BUY,2025-01-01 09:18:46.267455,STRONG_BUY,,
HMAAGRO,-0.5600000000000023,-1.3868251609707831,39.82,5493,NEUTRAL,2025-01-01 09:18:10.380852,BUY,-79,1.16
AJANTPHARM,-40.5,-1.3785122279140218,2897.45,4209,SELL,2025-01-01 09:17:36.804102,STRONG_SELL,-4,1.24
