[360ONE , 1035288.0]
[3IINFOLTD , 615457.4545454546]
[3MINDIA , 4998.818181818182]
[5PAISA , 339659.1818181818]
[AADHARHFC , 1032284.0]
[AARTIDRUGS , 141847.72727272726]
[AARTIIND , 1292757.1818181819]
[AARTIPHARM , 96283.0]
[AAVAS , 155974.45454545456]
[ABB , 324404.1818181818]
[ABBOTINDIA , 10326.545454545454]
[ABCAPITAL , 4193145.909090909]
[ABDL , 556856.0]
[ABFRL , 3608079.3636363638]
[ABREL , 236854.27272727274]
[ABSLAMC , 1182410.8181818181]
[ABSLBANETF , 312608.54545454547]
[ACC , 304015.2727272727]
[ACCELYA , 34028.0]
[ACE , 366229.63636363635]
[ACI , 279917.54545454547]
[ACL , 76686.54545454546]
[ACLGATI , 763652.8181818182]
[ADANIENSOL , 2602023.5454545454]
[ADANIENT , 1333061.5454545454]
[ADANIGREEN , 643475.3636363636]
[ADANIPORTS , 2098846.727272727]
[ADANIPOWER , 1865584.7272727273]
[ADFFOODS , 1337325.7272727273]
[ADORWELD , 10652.454545454546]
[ADVENZYMES , 255582.0]
[AEROFLEX , 2651364.8181818184]
[AETHER , 374238.8181818182]
[AFFLE , 213267.63636363635]
[AFIL , 86665.63636363637]
[AGARIND , 23205.454545454544]
[AGI , 317935.45454545453]
[AGIIL , 5683.0]
[AGSTRA , 465385.1818181818]
[AHL , 209206.36363636365]
[AHLUCONT , 123338.63636363637]
[AIAENG , 94685.81818181818]
[AIIL , 103317.18181818182]
[AJANTPHARM , 195434.45454545456]
[AJMERA , 358459.45454545453]
[AKUMS , 170628.9090909091]
[AKZOINDIA , 34369.454545454544]
[ALANKIT , 898359.3636363636]
[ALEMBICLTD , 649558.9090909091]
[ALICON , 13865.818181818182]
[ALKEM , 185263.45454545456]
[ALKYLAMINE , 83957.90909090909]
[ALLCARGO , 1895784.5454545454]
[ALLDIGI , 21346.454545454544]
[ALOKINDS , 13963308.0]
[ALPHA , 1458887.7272727273]
[ALPHAETF , 1202627.4545454546]
[ALPL30IETF , 1987974.7272727273]
[AMBER , 589620.0]
[AMBIKCO , 10124.181818181818]
[AMBUJACEM , 4359569.181818182]
[AMIORG , 150727.72727272726]
[AMRUTANJAN , 27218.545454545456]
[ANANDRATHI , 98589.0]
