[JINDRILL , 2243.77%]
[BANKNIFTY1 , 1546.28%]
[MANAPPURAM , 1374.23%]
[NIFTY1 , 989.55%]
[MGL , 892.34%]
[DOMS , 871.54%]
[HIRECT , 828.03%]
[IGL , 785.08%]
[PENIND , 774.42%]
[TEJASNET , 600.77%]
[PILANIINVS , 560.18%]
[HEMIPROP , 514.58%]
[ONWARDTEC , 495.79%]
[OAL , 492.95%]
[SILINV , 490.62%]
[CONSUMBEES , 482.52%]
[MTARTECH , 466.36%]
[GNA , 465.85%]
[ELECON , 404.76%]
[RPEL , 398.13%]
[WIPRO , 387.97%]
[PARADEEP , 385.14%]
[NIFTYIETF , 372.56%]
[NSIL , 366.05%]
[GFLLIMITED , 360.12%]
[CEATLTD , 357.98%]
[MOTILALOFS , 347.35%]
[MASFIN , 341.55%]
[POLYCAB , 336.50%]
[STYLAMIND , 325.65%]
[ROTO , 321.35%]
[ABREL , 319.01%]
[ANANDRATHI , 317.21%]
[BEML , 308.36%]
[BESTAGRO , 281.28%]
[MAZDOCK , 274.26%]
[MAHSCOOTER , 223.50%]
[TIMKEN , 223.15%]
[KIRLOSIND , 221.77%]
[GUJGASLTD , 215.49%]
[APEX , 212.02%]
[CENTUM , 199.54%]
[PRIVISCL , 197.25%]
[HONAUT , 194.17%]
[ZEEL , 193.22%]
[LTIM , 182.81%]
[SUNDARMFIN , 181.88%]
[BLISSGVS , 180.60%]
[AJMERA , 180.00%]
[PIDILITIND , 177.14%]
[ARMANFIN , 174.47%]
[JUNIPER , 174.14%]
[GENUSPOWER , 171.57%]
[ASTEC , 170.92%]
[KARURVYSYA , 168.02%]
[JSFB , 165.46%]
[ZOMATO , 161.40%]
[TANLA , 154.67%]
[HAVELLS , 153.85%]
[MANINDS , 152.93%]
[INOXWIND , 151.17%]
[JSL , 147.40%]
[KOPRAN , 146.26%]
[GODIGIT , 143.09%]
[DHANUKA , 139.99%]
[MASTEK , 138.26%]
[PRIMESECU , 138.25%]
[SMCGLOBAL , 134.76%]
[PSB , 128.26%]
[SYRMA , 125.22%]
[LATENTVIEW , 119.10%]
[IRMENERGY , 116.84%]
[INDIASHLTR , 114.01%]
[THEJO , 112.28%]
[TCI , 112.18%]
[INTLCONV , 111.90%]
[QUESS , 110.44%]
[PGHH , 110.24%]
[GLAND , 109.89%]
[JAYBARMARU , 108.33%]
[CARTRADE , 107.76%]
[KOKUYOCMLN , 107.24%]
[WINDMACHIN , 105.81%]
[CPSEETF , 104.89%]
[SANSERA , 103.49%]
[AXISBANK , 102.61%]
[5PAISA , 101.21%]
[SAMMAANCAP , 98.63%]
[SWARAJENG , 98.08%]
[GRINDWELL , 97.39%]
[CESC , 95.28%]
[EVERESTIND , 92.80%]
[INDIANHUME , 92.24%]
[ORIENTELEC , 90.41%]
[ORIENTCEM , 90.23%]
[LTTS , 90.10%]
[ALLDIGI , 89.10%]
[JGCHEM , 88.97%]
[KIRLOSBROS , 88.49%]
[CAPLIPOINT , 88.41%]
[ICIL , 87.97%]
[FINPIPE , 87.93%]
[NIFTYETF , 86.49%]
[MMTC , 85.06%]
[PIIND , 84.86%]
[GRSE , 84.84%]
[SHEMAROO , 84.74%]
[AUTOAXLES , 81.55%]
[INFY , 80.97%]
[SMSPHARMA , 80.96%]
[JINDWORLD , 78.45%]
[SATIN , 78.11%]
[SHREYAS , 77.45%]
[LAURUSLABS , 76.68%]
[STCINDIA , 75.71%]
[IOB , 74.56%]
[HDFCNIFTY , 73.98%]
[ENIL , 73.70%]
[SHYAMMETL , 73.10%]
[ITC , 71.06%]
[GSPL , 71.03%]
[NHPC , 70.84%]
[CONSUMIETF , 69.91%]
[WELSPUNLIV , 69.19%]
[BLAL , 69.12%]
[ABBOTINDIA , 69.04%]
[BHEL , 67.62%]
[NIF100BEES , 66.48%]
[SHRIRAMFIN , 65.16%]
[PNBGILTS , 64.38%]
[SIS , 63.68%]
[SJVN , 63.67%]
[GREAVESCOT , 63.28%]
[DCAL , 61.97%]
[MAKEINDIA , 61.63%]
[HARSHA , 61.52%]
[SUMMITSEC , 60.30%]
[BALMLAWRIE , 59.06%]
[CROMPTON , 58.20%]
[INDGN , 58.15%]
[PTC , 57.93%]
[JTEKTINDIA , 57.21%]
[IKIO , 57.09%]
[NELCAST , 56.92%]
[MTNL , 55.30%]
[TECHM , 53.74%]
[COMMOIETF , 53.60%]
[EMBDL , 53.53%]
[SUVENPHAR , 53.30%]
[PLATIND , 53.01%]
[TATACOMM , 52.02%]
[BOMDYEING , 50.94%]
[TRACXN , 50.84%]
[MPSLTD , 49.38%]
[FUSION , 48.67%]
[GLAXO , 47.79%]
[KTKBANK , 46.21%]
[INDUSINDBK , 44.94%]
[SBILIFE , 44.39%]
[SPARC , 44.02%]
[AVALON , 43.25%]
[CENTENKA , 43.21%]
[MUNJALAU , 42.95%]
[ENGINERSIN , 42.45%]
[KEI , 42.22%]
[EBBETF0425 , 41.37%]
[BANKIETF , 41.00%]
[SPCENET , 39.65%]
[ACLGATI , 39.55%]
[ITIETF , 37.72%]
[ORIENTTECH , 37.30%]
[SUPREMEIND , 37.29%]
[CRAFTSMAN , 37.05%]
[AGARIND , 36.94%]
[SATIA , 36.80%]
[ALKEM , 36.79%]
[IXIGO , 36.60%]
[AARTIIND , 36.19%]
[RAMCOCEM , 34.72%]
[HIL , 34.43%]
[RITCO , 33.95%]
[SUYOG , 33.62%]
[NESTLEIND , 33.51%]
[UCOBANK , 33.42%]
[LTFOODS , 32.88%]
[GOPAL , 32.50%]
[HDFCSML250 , 31.83%]
[ASKAUTOLTD , 31.74%]
[MUTHOOTFIN , 31.40%]
[INOXINDIA , 31.27%]
[CYIENT , 31.15%]
[GHCLTEXTIL , 30.19%]
[PAISALO , 30.06%]
[SBIETFIT , 29.87%]
[EICHERMOT , 29.70%]
[SUPRAJIT , 29.53%]
[BORORENEW , 29.12%]
[CENTRALBK , 28.97%]
[HITECH , 27.98%]
[HINDCOPPER , 27.84%]
[GREENPLY , 27.44%]
[ITETF , 27.27%]
[JASH , 27.02%]
[IDBI , 26.42%]
[CHOLAHLDNG , 26.12%]
[PVRINOX , 25.32%]
[SUVEN , 25.13%]
[CAMLINFINE , 24.83%]
[IRB , 24.55%]
[STEELCAS , 24.40%]
[SRF , 24.03%]
[ROHLTD , 24.01%]
[LTF , 23.98%]
[BAJAJHCARE , 23.62%]
[DHANBANK , 23.55%]
[COSMOFIRST , 23.47%]
[CONCOR , 23.40%]
[DEN , 23.03%]
[JSWHL , 22.76%]
[UNIONBANK , 22.50%]
[ADANIPOWER , 22.19%]
[HINDALCO , 21.85%]
[TEAMLEASE , 21.84%]
[JSWENERGY , 21.34%]
[PONNIERODE , 20.83%]
[GMMPFAUDLR , 20.78%]
[PATANJALI , 20.41%]
[INSECTICID , 20.24%]
[ELIN , 20.16%]
[ULTRACEMCO , 20.15%]
[VALIANTORG , 19.92%]
[FMCGIETF , 19.61%]
[SAIL , 19.54%]
[CMSINFO , 19.53%]
[AMBUJACEM , 19.48%]
[NAZARA , 19.24%]
[MARICO , 19.03%]
[AZAD , 18.80%]
[AHLUCONT , 17.94%]
[NAVNETEDUL , 17.60%]
[KHADIM , 17.54%]
[BATAINDIA , 17.46%]
[IGPL , 17.23%]
[JSWINFRA , 17.15%]
[NATIONALUM , 17.14%]
[APTECHT , 15.90%]
[SCILAL , 15.64%]
[MAYURUNIQ , 15.38%]
[JBMA , 15.35%]
[ASTRAMICRO , 15.31%]
[EXXARO , 15.02%]
[BARBEQUE , 14.77%]
[BSOFT , 14.60%]
[ATGL , 13.84%]
[PALASHSECU , 13.34%]
[GARFIBRES , 12.48%]
[GICHSGFIN , 12.25%]
[RICOAUTO , 12.20%]
[KNRCON , 11.78%]
[SUNTV , 11.77%]
[BIRLACABLE , 11.63%]
[APOLLOTYRE , 11.26%]
[UNITDSPR , 11.23%]
[TFCILTD , 10.96%]
[3IINFOLTD , 10.86%]
[CHEMPLASTS , 10.83%]
[VOLTAS , 10.75%]
[GALAPREC , 10.69%]
[CHOICEIN , 10.20%]
[GUFICBIO , 10.11%]
[APCOTEXIND , 9.66%]
[TNPL , 9.57%]
[GENESYS , 9.42%]
[SUNCLAY , 9.31%]
[BHARATWIRE , 9.29%]
[RBLBANK , 9.19%]
[STEELXIND , 8.69%]
[CAPACITE , 8.56%]
[ITBEES , 8.03%]
[CANBK , 8.02%]
[CIGNITITEC , 7.86%]
[KELLTONTEC , 7.78%]
[TITAN , 7.73%]
[MMFL , 7.34%]
[TREL , 7.21%]
[NAVKARCORP , 6.94%]
[RESPONIND , 6.76%]
[GOCLCORP , 6.75%]
[KESORAMIND , 6.66%]
[BAJAJHLDNG , 6.61%]
[SMLISUZU , 6.57%]
[AUTOIND , 6.57%]
[GMDCLTD , 6.55%]
[HIMATSEIDE , 6.42%]
[BFINVEST , 6.21%]
[RUSTOMJEE , 5.81%]
[MUFTI , 5.53%]
[BANKINDIA , 5.51%]
[PYRAMID , 5.41%]
[MUNJALSHOW , 5.33%]
[ASHIANA , 5.31%]
[HDFCLIFE , 5.23%]
[TNPETRO , 4.86%]
[HIKAL , 4.77%]
[SHRIRAMPPS , 4.54%]
[SOLARINDS , 4.34%]
[INTERARCH , 4.07%]
[HEALTHIETF , 4.07%]
[AMBIKCO , 4.06%]
[TITAGARH , 4.05%]
[ELECTCAST , 3.69%]
[AWL , 3.29%]
[GHCL , 2.95%]
[KIRLPNU , 2.92%]
[UNOMINDA , 2.91%]
[SOUTHBANK , 2.87%]
[FINOPB , 2.83%]
[GOLDBEES , 2.76%]
[ZYDUSLIFE , 2.45%]
[AGI , 2.40%]
[GANESHHOUC , 2.17%]
[KPIL , 2.00%]
[UBL , 1.53%]
[SHANKARA , 0.93%]
[TRIVENI , 0.82%]
[KALYANKJIL , -0.01%]
[INDIAMART , -0.03%]
[SMALLCAP , -0.17%]
[OBEROIRLTY , -0.19%]
[ALLCARGO , -0.75%]
[MAXESTATES , -0.84%]
[NETWEB , -0.85%]
[AUTOIETF , -0.89%]
[ACI , -1.02%]
[MOTHERSON , -1.38%]
[MATRIMONY , -1.50%]
[UFLEX , -1.61%]
[SUTLEJTEX , -1.80%]
[GOLDSHARE , -1.86%]
[GOLDIETF , -1.91%]
[CIPLA , -1.92%]
[MARATHON , -2.15%]
[QUICKHEAL , -2.25%]
[TALBROAUTO , -2.59%]
[PRECAM , -2.79%]
[VSTL , -2.83%]
[BRITANNIA , -2.86%]
[CAMS , -2.88%]
[SIGNATURE , -3.03%]
[SETFNIF50 , -3.09%]
[360ONE , -3.13%]
[LIQUIDIETF , -3.26%]
[MONTECARLO , -3.51%]
[ICICIGI , -3.52%]
[SHYAMCENT , -3.52%]
[RATNAMANI , -3.65%]
[VEDL , -3.88%]
[KSOLVES , -3.97%]
[BAJAJELEC , -4.31%]
[SSWL , -4.32%]
[NSLNISP , -4.40%]
[SILVERTUC , -4.43%]
[GATEWAY , -4.46%]
[AUTOBEES , -4.64%]
[SHRIPISTON , -4.69%]
[MEDPLUS , -4.72%]
[MOVALUE , -4.86%]
[SPANDANA , -4.94%]
[ALANKIT , -5.00%]
[RADICO , -5.26%]
[NAVINFLUOR , -5.41%]
[AETHER , -5.85%]
[INDOSTAR , -5.89%]
[MARUTI , -6.16%]
[LAOPALA , -6.39%]
[PROZONER , -6.43%]
[ALPHA , -6.46%]
[JAYNECOIND , -6.67%]
[RADIANTCMS , -6.72%]
[SHANTIGEAR , -6.73%]
[FLAIR , -6.83%]
[CUB , -6.83%]
[UTKARSHBNK , -6.91%]
[CARYSIL , -7.26%]
[AKUMS , -7.57%]
[EBBETF0431 , -7.69%]
[MAHABANK , -7.70%]
[FOODSIN , -7.72%]
[AGSTRA , -8.01%]
[RUBYMILLS , -8.26%]
[TCS , -8.33%]
[ORIENTPPR , -8.36%]
[HFCL , -8.53%]
[ESCORTS , -8.57%]
[GPPL , -8.66%]
[HGINFRA , -8.73%]
[MOL , -8.87%]
[ONGC , -8.92%]
[DREAMFOLKS , -8.98%]
[ROSSARI , -9.17%]
[SHOPERSTOP , -9.22%]
[SAURASHCEM , -9.40%]
[BANKBEES , -9.46%]
[TIRUMALCHM , -9.60%]
[LODHA , -9.65%]
[3MINDIA , -9.72%]
[DELHIVERY , -9.76%]
[BIOCON , -9.78%]
[NIFTYBEES , -10.14%]
[MRPL , -10.47%]
[BHARATFORG , -10.50%]
[HAPPYFORGE , -10.54%]
[SILVERBEES , -10.96%]
[ICICIBANK , -11.01%]
[KIMS , -11.36%]
[PRESTIGE , -11.43%]
[RELAXO , -11.59%]
[TRITURBINE , -11.72%]
[SILVERIETF , -12.15%]
[MINDACORP , -12.17%]
[TATAMOTORS , -12.42%]
[TNIDETF , -12.44%]
[SONACOMS , -12.46%]
[INDHOTEL , -12.55%]
[AARTIPHARM , -12.69%]
[SJS , -12.80%]
[MAHLOG , -12.82%]
[VAIBHAVGBL , -12.85%]
[SUMICHEM , -12.89%]
[TVSSCS , -13.02%]
[HTMEDIA , -13.18%]
[ZUARIIND , -13.19%]
[CDSL , -13.20%]
[PEL , -13.31%]
[PVSL , -13.32%]
[BHARTIARTL , -13.53%]
[SKFINDIA , -13.59%]
[KEC , -13.61%]
[BIKAJI , -13.84%]
[HDFCGOLD , -13.87%]
[ARVSMART , -13.89%]
[HSCL , -14.06%]
[SEAMECLTD , -14.08%]
[INDIGOPNTS , -14.15%]
[LALPATHLAB , -14.21%]
[LLOYDSENGG , -14.23%]
[DCBBANK , -14.36%]
[SKMEGGPROD , -14.41%]
[LT , -14.54%]
[MIDHANI , -14.59%]
[ZEELEARN , -14.71%]
[NOCIL , -14.71%]
[KIRIINDUS , -14.77%]
[GANESHBE , -14.89%]
[PSUBNKIETF , -14.90%]
[JMFINANCIL , -14.91%]
[ADVENZYMES , -14.92%]
[SPIC , -14.95%]
