symbol: AEROFLEX  - (Normal), sl: 191.12   , volume: 32085,  percentage_change: 1.45, bid: [{'price': 206.2, 'quantity': 25253, 'orders': 26}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}] , sell : [{'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}] , time: 2024-10-14 21:41:11.581371
symbol: AGSTRA  - (Normal), sl: 93.52   , volume: 38054,  percentage_change: 4.57, bid: [{'price': 95.81, 'quantity': 3005, 'orders': 7}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}] , sell : [{'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}] , time: 2024-10-14 21:41:12.414355
symbol: GOLDBEES  - (Normal), sl: 63.62   , volume: 165608,  percentage_change: 1.04, bid: [{'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}] , sell : [{'price': 63.98, 'quantity': 16164, 'orders': 8}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}] , time: 2024-10-14 21:41:18.124631
symbol: PREMIERENE  - (Normal), sl: 1120   , volume: 345719,  percentage_change: 2.13, bid: [{'price': 1133.6, 'quantity': 155, 'orders': 4}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}] , sell : [{'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}] , time: 2024-10-14 21:41:22.919234
symbol: SILVERBEES  - (Normal), sl: 87.82   , volume: 117506,  percentage_change: 0.75, bid: [{'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}] , sell : [{'price': 88.39, 'quantity': 97941, 'orders': 3}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}] , time: 2024-10-14 21:41:26.533996
symbol: TORNTPOWER  - (Normal), sl: 1890   , volume: 52547,  percentage_change: 2.38, bid: [{'price': 1940.25, 'quantity': 113, 'orders': 9}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}] , sell : [{'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}, {'price': 0, 'quantity': 0, 'orders': 0}] , time: 2024-10-14 21:41:27.852974

----
symbol: ATL  - (Normal), sl: 40.62   , volume: 38384,  percentage_change: 1.92, bid: [{'price': 40.73, 'quantity': 19, 'orders': 1}, {'price': 40.72, 'quantity': 25, 'orders': 1}, {'price': 40.7, 'quantity': 3000, 'orders': 1}, {'price': 40.64, 'quantity': 144, 'orders': 1}, {'price': 40.63, 'quantity': 45, 'orders': 1}] , sell : [{'price': 40.91, 'quantity': 55, 'orders': 1}, {'price': 40.93, 'quantity': 123, 'orders': 1}, {'price': 40.94, 'quantity': 1, 'orders': 1}, {'price': 40.95, 'quantity': 56, 'orders': 1}, {'price': 40.96, 'quantity': 144, 'orders': 1}] , time: 2024-10-15 09:19:10.343824
symbol: EXXARO  - (Normal), sl: 95.19   , volume: 39626,  percentage_change: 2.58, bid: [{'price': 94.73, 'quantity': 50, 'orders': 1}, {'price': 94.25, 'quantity': 58, 'orders': 1}, {'price': 94.24, 'quantity': 212, 'orders': 1}, {'price': 94.23, 'quantity': 58, 'orders': 1}, {'price': 94.21, 'quantity': 58, 'orders': 1}] , sell : [{'price': 94.9, 'quantity': 27, 'orders': 1}, {'price': 94.92, 'quantity': 86, 'orders': 2}, {'price': 94.93, 'quantity': 85, 'orders': 2}, {'price': 94.94, 'quantity': 94, 'orders': 2}, {'price': 94.95, 'quantity': 90, 'orders': 2}] , time: 2024-10-15 09:19:11.298664
symbol: HFCL  - (Normal), sl: 137.39   , volume: 576562,  percentage_change: 0.66, bid: [{'price': 137.4, 'quantity': 612, 'orders': 8}, {'price': 137.39, 'quantity': 603, 'orders': 1}, {'price': 137.38, 'quantity': 1208, 'orders': 3}, {'price': 137.37, 'quantity': 2004, 'orders': 3}, {'price': 137.36, 'quantity': 1326, 'orders': 3}] , sell : [{'price': 137.5, 'quantity': 299, 'orders': 2}, {'price': 137.51, 'quantity': 1201, 'orders': 5}, {'price': 137.52, 'quantity': 706, 'orders': 3}, {'price': 137.53, 'quantity': 710, 'orders': 3}, {'price': 137.54, 'quantity': 189, 'orders': 2}] , time: 2024-10-15 09:19:13.067960
